Timestamp,Participant Id,Which chat applications did you search in?,Can you share the query text you typed in your chat application Search Textbox?,What was your search intent when issuing this query to search your historical chat?,What chat objects satisfied your search intents when you used the search function?,How did you search your previous chat conversations?,How were the results displayed when you performed this search? ,How satisfied were you with the results being displayed in that way?,How satisfied were you with the quality of the search results?,How satisfied were you with the chat applications search experience?
10/3/2023 16:53:56,105,MS Teams,Receiving and invoicing ,Refresh memory about what was said/discussed,Thread of conversation,Manually e.g. scrolling up and down,"A list of individual messages, in chronological order",3,4,0
10/3/2023 17:02:21,105,MS Teams,Catalogue module,Refresh memory about what was said/discussed,Thread of conversation,Manually e.g. scrolling up and down,"A list of individual messages, in relevance/best-match order",3,3,0
10/2/2023 18:35:31,106,Discord,,Refresh memory about what was said/discussed,Text messages,Manually e.g. scrolling up and down,"A list of individual messages, in chronological order",7,7,0
9/20/2023 20:48:57,107,MS Teams,Emergency response valve MOC,Resources,Document,Keywords within a textbox,"A list of short segments from a conversation, in chronological order",4,4,0
9/20/2023 20:50:23,107,MS Teams,Individual name (Private),"Entities (e.g. People, Brands, places, Movies)",Text messages,Keywords within a textbox,"A list of individual messages, in chronological order",5,4,0
9/20/2023 20:51:33,107,MS Teams,Acidization procedure ,Resources,Document,Keywords within a textbox,"A list of conversations (multiple, subsequent messages), in chronological order",4,4,0
9/20/2023 20:52:45,107,MS Teams,reference material link,Resources,URL link,Manually e.g. scrolling up and down,"A list of short segments from a conversation, in chronological order",3,5,0
9/20/2023 20:53:32,107,MS Teams,Contact details - Contractor,"Entities (e.g. People, Brands, places, Movies)",Thread of conversation,Keywords within a textbox,"A list of individual messages, in chronological order",5,4,0
9/20/2023 22:01:16,107,MS Teams,Conversation thread reminder ,Refresh memory about what was said/discussed,Thread of conversation,Manually e.g. scrolling up and down,"A list of individual messages, in chronological order",4,5,0
9/20/2023 22:22:57,107,MS Teams,drops register,Resources,Document,Manually e.g. scrolling up and down,"A list of short segments from a conversation, in relevance/best-match order",4,5,0
9/20/2023 23:33:38,107,MS Teams,review chat content,Refresh memory about what was said/discussed,Thread of conversation,Manually e.g. scrolling up and down,"A list of individual messages, in relevance/best-match order",4,4,0
9/20/2023 23:34:56,107,MS Teams,Procedural extract screen shot,Resources,"Multimedia (e.g. images, videos).",Manually e.g. scrolling up and down,"A list of conversations (multiple, subsequent messages), in relevance/best-match order",3,5,0
9/21/2023 21:34:18,107,MS Teams,HCL acid content %,Refresh memory about what was said/discussed,Thread of conversation,Keywords within a textbox,"A list of individual messages, in chronological order",5,4,0
9/21/2023 21:35:07,107,MS Teams,SDS Data sheet,Resources,URL link,Manually e.g. scrolling up and down,"A list of short segments from a conversation, in chronological order",5,5,0
9/21/2023 21:35:59,107,MS Teams,Individual contact details previously discussed. ,"Entities (e.g. People, Brands, places, Movies)",Thread of conversation,Keywords within a textbox,"A list of individual messages, in chronological order",5,6,0
9/21/2023 21:36:54,107,MS Teams,Program details - specific wording ,Refresh memory about what was said/discussed,Thread of conversation,Manually e.g. scrolling up and down,"A list of conversations (multiple, subsequent messages), in chronological order",4,5,0
9/21/2023 21:37:45,107,MS Teams,Product details - product name ,Resources,Document,Keywords within a textbox,"A list of short segments from a conversation, in chronological order",3,4,0
9/22/2023 22:52:05,107,MS Teams,PMITP,Resources,Thread of conversation,Manually e.g. scrolling up and down,"A list of individual messages, in chronological order",3,4,0
9/22/2023 22:53:07,107,MS Teams,product measurements ,Refresh memory about what was said/discussed,Specific keywords or phrases mentioned in the chat.,Keywords within a textbox,"A list of individual messages, in chronological order",5,4,0
9/22/2023 22:53:59,107,MS Teams,Date,Refresh memory about what was said/discussed,Thread of conversation,Keywords within a textbox,"A list of individual messages, in chronological order",5,5,0
10/3/2023 21:49:39,107,MS Teams,Personnel number,Question-answering,Thread of conversation,Manually e.g. scrolling up and down,"A list of individual messages, in relevance/best-match order",5,5,0
10/3/2023 21:50:25,107,MS Teams,Timewriting SAP codes ,Resources,Document,Manually e.g. scrolling up and down,"A list of individual messages, in relevance/best-match order",4,4,0
10/3/2023 21:52:20,107,MS Teams,HSSE Plan,Resources,Thread of conversation,Manually e.g. scrolling up and down,"A list of individual messages, in relevance/best-match order",5,4,0
10/3/2023 21:55:23,107,MS Teams,SOFA SLB,Resources,Thread of conversation,Manually e.g. scrolling up and down,"A list of individual messages, in relevance/best-match order",4,3,0
10/3/2023 21:56:40,107,MS Teams,Drops audit,Refresh memory about what was said/discussed,Document,Manually e.g. scrolling up and down,"A list of individual messages, in relevance/best-match order",3,4,0
9/19/2023 17:46:44,109,MS Teams,PF707,Resources,Document,Manually e.g. scrolling up and down,gave me the document,7,7,0
9/20/2023 10:44:35,109,MS Teams,,"Entities (e.g. People, Brands, places, Movies)",Names of people or channels/groups mentioned in the chat.,Manually e.g. scrolling up and down,"A list of individual messages, in relevance/best-match order",7,7,0
9/21/2023 9:30:44,109,MS Teams,Ray,"Entities (e.g. People, Brands, places, Movies)",Names of people or channels/groups mentioned in the chat.,Manually e.g. scrolling up and down,"A list of individual messages, in relevance/best-match order",5,6,0
9/21/2023 9:32:41,109,MS Teams,HVA,Resources,Document,Manually e.g. scrolling up and down,"A list of individual messages, in relevance/best-match order",5,6,0
9/26/2023 10:47:09,109,MS Teams,Meg,"Entities (e.g. People, Brands, places, Movies)",Names of people or channels/groups mentioned in the chat.,Manually e.g. scrolling up and down,"A list of individual messages, in chronological order",7,7,0
9/28/2023 13:31:41,109,MS Teams,,"Entities (e.g. People, Brands, places, Movies)",Names of people or channels/groups mentioned in the chat.,Manually e.g. scrolling up and down,"A list of individual messages, in chronological order",7,7,0
9/28/2023 15:08:15,109,MS Teams,,Resources,Document,Manually e.g. scrolling up and down,"A list of individual messages, in chronological order",5,5,0
10/3/2023 9:56:25,109,MS Teams,,"Entities (e.g. People, Brands, places, Movies)",Names of people or channels/groups mentioned in the chat.,Manually e.g. scrolling up and down,"A list of individual messages, in chronological order",6,6,0
10/5/2023 11:44:07,109,MS Teams,Roo,Resources,Document,Manually e.g. scrolling up and down,"A list of individual messages, in chronological order",6,6,0
9/21/2023 5:26:12,110,MS Teams,Specification search (document),Resources,Document,Keywords within a textbox,"A list of conversations (multiple, subsequent messages), in chronological order",4,3,0
9/22/2023 13:47:24,110,MS Teams,Governance (looking for chats or documents on Governance),Refresh memory about what was said/discussed,Thread of conversation,Keywords within a textbox,"A list of conversations (multiple, subsequent messages), in chronological order",5,5,0
9/23/2023 9:21:39,110,MS Teams,Team workshop 20/9,Refresh memory about what was said/discussed,"Nothing relevant. Then searched for meeting name, dropped date",Keywords within a textbox,Nothing relevant,1,1,0
9/27/2023 12:44:43,110,MS Teams,Strategic plan ,Assigned tasks to members,Thread of conversation,Keywords within a textbox,"A list of individual messages, in relevance/best-match order",3,3,0
9/27/2023 12:45:53,110,MS Teams,Looking for a conversation in chat list,Question-answering,Text messages,Natural language phrase/questions,"A list of individual messages, in chronological order",5,5,0
9/28/2023 18:48:01,110,MS Teams,Invite to group,Work / Social announcements,URL link,Manually e.g. scrolling up and down,"A list of individual messages, in chronological order",4,4,0
9/29/2023 12:04:41,110,MS Teams,Sent messages re compliance ,Resources,Thread of conversation,Keywords within a textbox,"A list of individual messages, in chronological order",5,4,0
10/2/2023 13:38:01,110,MS Teams,Digital+ tech+weekly ,Question-answering,"Multimedia (e.g. images, videos).",Keywords within a textbox,"A list of conversations (multiple, subsequent messages), in chronological order",5,4,0
10/2/2023 13:39:08,110,MS Teams,Solution Diagram,Assigned tasks to members,URL link,"Keywords within a textbox with operators such as AND, OR, quotes, temporal ranges, a user (from/to), has_attachment","A list of conversations (multiple, subsequent messages), in chronological order",4,4,0
10/2/2023 13:40:00,110,MS Teams,Person,Work / Social announcements,Specific keywords or phrases mentioned in the chat.,Manually e.g. scrolling up and down,"A list of individual messages, in chronological order",5,5,0
10/3/2023 13:26:30,110,MS Teams,,Assigned tasks to members,Document,"Keywords within a textbox with operators such as AND, OR, quotes, temporal ranges, a user (from/to), has_attachment","A list of short segments from a conversation, in relevance/best-match order",4,4,0
10/3/2023 13:27:41,110,MS Teams,Stakeholder+FIT,Resources,Document,Keywords within a textbox,"A list of individual messages, in relevance/best-match order",2,3,0
10/3/2023 13:30:16,110,MS Teams,Diagram+name,Resources,"Multimedia (e.g. images, videos).",Keywords within a textbox,"A list of conversations (multiple, subsequent messages), in relevance/best-match order",3,4,0
10/3/2023 13:31:05,110,MS Teams,Person name ,"Entities (e.g. People, Brands, places, Movies)",URL link,Keywords within a textbox,"A list of short segments from a conversation, in chronological order",5,5,0
10/4/2023 16:09:31,110,MS Teams,Meeting recording,Refresh memory about what was said/discussed,"Multimedia (e.g. images, videos).","Keywords within a textbox with operators such as AND, OR, quotes, temporal ranges, a user (from/to), has_attachment","A list of conversations (multiple, subsequent messages), in relevance/best-match order",5,5,0
10/4/2023 16:10:35,110,MS Teams,Document ,"Entities (e.g. People, Brands, places, Movies)",Document,Natural language phrase/questions,Word documents,3,3,0
10/4/2023 16:11:30,110,MS Teams,URL,Resources,URL link,"Keywords within a textbox with operators such as AND, OR, quotes, temporal ranges, a user (from/to), has_attachment","A list of short segments from a conversation, in relevance/best-match order",5,6,0
10/4/2023 16:12:55,110,MS Teams,Requirements+job number,Resources,Document,Keywords within a textbox,Document list,5,6,0
10/4/2023 16:13:31,110,MS Teams,Name,Work / Social announcements,Thread of conversation,Manually e.g. scrolling up and down,"A list of conversations (multiple, subsequent messages), in chronological order",4,5,0
10/6/2023 2:27:41,110,MS Teams,Meeting notes,Question-answering,Specific keywords or phrases mentioned in the chat.,Keywords within a textbox,"A list of conversations (multiple, subsequent messages), in chronological order",3,2,0
10/6/2023 2:30:19,110,MS Teams,Name,Refresh memory about what was said/discussed,Text messages,Manually e.g. scrolling up and down,"A list of individual messages, in chronological order",5,5,0
10/6/2023 2:31:28,110,MS Teams,Meeting cadence,Resources,Document,Keywords within a textbox,"A list of short segments from a conversation, in relevance/best-match order",6,5,0
10/6/2023 2:34:40,110,MS Teams,@name,Assigned tasks to members,Thread of conversation,"Keywords within a textbox with operators such as AND, OR, quotes, temporal ranges, a user (from/to), has_attachment",Name to message ,5,4,0
10/6/2023 2:39:24,110,MS Teams,,"Entities (e.g. People, Brands, places, Movies)",Names of people or channels/groups mentioned in the chat.,Keywords within a textbox,"A list of short segments from a conversation, in relevance/best-match order",4,3,0
9/19/2023 23:47:06,111,MS Teams,integration ,Work / Social announcements,Text messages,Keywords within a textbox,"A list of individual messages, in relevance/best-match order",3,3,0
9/21/2023 19:43:57,111,MS Teams,MOH,Assigned tasks to members,Text messages,Keywords within a textbox,"A list of individual messages, in chronological order",3,3,0
9/28/2023 17:52:33,111,MS Teams,Intisar,"Entities (e.g. People, Brands, places, Movies)",Names of people or channels/groups mentioned in the chat.,Manually e.g. scrolling up and down,"A list of individual messages, in chronological order",3,2,0
9/28/2023 17:54:08,111,MS Teams,training,Refresh memory about what was said/discussed,Thread of conversation,Manually e.g. scrolling up and down,"A list of individual messages, in chronological order",3,2,0
9/28/2023 17:56:32,111,MS Teams,Buthainah,"Entities (e.g. People, Brands, places, Movies)",Text messages,Manually e.g. scrolling up and down,"A list of individual messages, in chronological order",4,2,0
9/28/2023 18:03:34,111,MS Teams,Dhafer,"Entities (e.g. People, Brands, places, Movies)",Text messages,Manually e.g. scrolling up and down,"A list of individual messages, in chronological order",3,3,0
9/26/2023 13:02:35,114,Slack,office number,Refresh memory about what was said/discussed,Specific keywords or phrases mentioned in the chat.,Keywords within a textbox,"A list of individual messages, in relevance/best-match order",6,6,0
9/26/2023 13:07:12,114,Slack,bunya,Resources,URL link,Keywords within a textbox,"A list of individual messages, in relevance/best-match order",5,6,0
9/26/2023 13:10:25,114,Slack,,Resources,Specific keywords or phrases mentioned in the chat.,Manually e.g. scrolling up and down,"A list of individual messages, in chronological order",5,4,0
9/26/2023 13:12:43,114,Slack,,Resources,Document,Manually e.g. scrolling up and down,"A list of individual messages, in chronological order",5,5,0
10/2/2023 9:45:17,114,Slack,,Refresh memory about what was said/discussed,Thread of conversation,Manually e.g. scrolling up and down,"A list of individual messages, in chronological order",5,5,0
10/2/2023 9:47:13,114,Slack,salam email,Resources,Specific keywords or phrases mentioned in the chat.,Keywords within a textbox,"A list of individual messages, in relevance/best-match order",2,3,0
10/2/2023 9:49:23,114,Slack,annapurna,Resources,Text messages,Keywords within a textbox,"A list of individual messages, in relevance/best-match order",5,4,0
10/2/2023 9:51:20,114,Slack,gs-,Resources,Specific keywords or phrases mentioned in the chat.,Keywords within a textbox,"A list of individual messages, in chronological order",5,5,0
10/2/2023 9:53:19,114,Slack,server,Refresh memory about what was said/discussed,Text messages,Keywords within a textbox,"A list of individual messages, in relevance/best-match order",5,5,0
10/3/2023 19:22:57,114,Slack,does not work,Resources,Text messages,Keywords within a textbox,"A list of individual messages, in chronological order",6,6,0
10/4/2023 13:59:24,114,Slack,,Resources,URL link,Manually e.g. scrolling up and down,"A list of individual messages, in chronological order",5,5,0
10/5/2023 8:53:04,114,Slack,head,Resources,Text messages,Keywords within a textbox,"A list of individual messages, in relevance/best-match order",7,6,0
10/9/2023 15:39:56,114,Slack,hugging,Resources,Text messages,Keywords within a textbox,"A list of individual messages, in relevance/best-match order",5,5,0
10/9/2023 21:20:40,114,Slack,kinit,Resources,Text messages,Keywords within a textbox,"A list of individual messages, in relevance/best-match order",6,6,0
9/25/2023 20:48:06,115,MS Teams,Goddard Bld Project ,Refresh memory about what was said/discussed,Thread of conversation,Keywords within a textbox,"A list of short segments from a conversation, in chronological order",2,3,0
9/25/2023 20:49:18,115,MS Teams,Spare Parts ,Resources,Document,Keywords within a textbox,"A list of individual messages, in chronological order",2,2,0
9/25/2023 20:50:45,115,MS Teams,Exhaust fan installation ,Assigned tasks to members,Names of people or channels/groups mentioned in the chat.,Manually e.g. scrolling up and down,"A list of individual messages, in relevance/best-match order",4,3,0
9/25/2023 20:51:19,115,MS Teams,,Refresh memory about what was said/discussed,Thread of conversation,Manually e.g. scrolling up and down,"A list of individual messages, in chronological order",5,4,0
9/25/2023 20:52:52,115,MS Teams,BMS Meeting ,Resources,Specific keywords or phrases mentioned in the chat.,Keywords within a textbox,"A list of short segments from a conversation, in chronological order",4,4,0
10/3/2023 10:14:18,115,MS Teams,,Refresh memory about what was said/discussed,Thread of conversation,Keywords within a textbox,"A list of short segments from a conversation, in relevance/best-match order",5,5,0
10/3/2023 10:15:10,115,MS Teams,,Assigned tasks to members,Text messages,Manually e.g. scrolling up and down,"A list of individual messages, in relevance/best-match order",3,2,0
10/3/2023 10:15:49,115,MS Teams,,Resources,Names of people or channels/groups mentioned in the chat.,Keywords within a textbox,"A list of individual messages, in relevance/best-match order",3,4,0
